,tconst,primaryTitle,startYear,genres,directors,cast,averageRating,numVotes,main_dir,dirname
238894,tt2360310,The Obscure Spring,2014,Drama,nm0176496,"['nm0946962', 'nm0840762', 'nm0044430', 'nm5467533', 'nm2993417']",6.1,897,nm0176496,Ernesto Contreras
137592,tt0381936,Bummer,2003,"Crime,Drama",nm1458108,"['nm1284690', 'nm1459463', 'nm0465273', 'nm1330495', 'nm1166664']",7.1,8057,nm1458108,Pyotr Buslov
206096,tt1555064,Country Strong,2010,"Drama,Music",nm0275277,"['nm1330560', 'nm0000569', 'nm1015262', 'nm0005210', 'nm3774836']",6.3,19098,nm0275277,Shana Feste
227810,tt20874898,"Rodolfo - Vigyázat, csalok!",2022,Documentary,"nm2786613,nm13737056","['nm8337873', 'nm3646734', 'nm3582716']",6.7,11,nm2786613,Dávid Géczy
171763,tt1107346,Juhani on kuumeessa,1985,Comedy,"nm0290435,nm0434654","['nm0617347', 'nm0088993', 'nm0864247', 'nm0514382', 'nm0815252']",7.0,8,nm0290435,Kari Franck
124866,tt0316473,The Real Deal,2002,"Drama,Romance,Thriller",nm0123325,"['nm0000969', 'nm0718647', 'nm0000838', 'nm0004904', 'nm0541908']",4.6,152,nm0123325,Tom Burruss
216896,tt1783339,Lotto,2010,"Drama,Fantasy,Mystery",nm0751643,"['nm2350810', 'nm2964577', 'nm3601503', 'nm3403579', 'nm2563403']",5.0,23,nm0751643,Jerry Russo
113913,tt0271479,Ee Sabdam Innathe Sabdam,1985,"Action,Crime,Drama",nm0899794,"['nm0007123', 'nm0811794', 'nm0737513', 'nm0707490', 'nm1066795']",7.3,50,nm0899794,P.G. Viswambharan
145851,tt0436435,Into the Air: A Kiteboarding Experience,2005,Documentary,"nm1785653,nm1327673,nm1783720","['nm1143255', 'nm2098173', 'nm2094138', 'nm2094130', 'nm2101244']",8.5,11,nm1785653,Rachel Janowicz
294147,tt6237612,Accident Man,2018,"Action,Adventure,Comedy",nm0425364,"['nm0012078', 'nm0829032', 'nm0001601', 'nm0925220', 'nm2230865']",6.2,13736,nm0425364,Jesse V. Johnson
21459,tt0046358,The Square Ring,1953,"Drama,Sport",nm0213136,"['nm0912487', 'nm0064235', 'nm0654089', 'nm0715582', 'nm0741394']",6.5,317,nm0213136,Basil Dearden
188133,tt13273728,Colors of Love,2021,"Drama,Romance",nm0909568,"['nm2057726', 'nm0614877', 'nm5006946', 'nm0114276', 'nm0121721']",5.6,3026,nm0909568,Bradley Walsh
132608,tt0355977,Iron Ladies 2,2003,"Comedy,Sport",nm0861129,"['nm1492035', 'nm0071375', 'nm1202251', 'nm1492366', 'nm0393293']",5.1,272,nm0861129,Yongyoot Thongkongtoon
254435,tt29485262,My Bloody Galentine,2024,Thriller,nm3490382,"['nm5947964', 'nm7581510', 'nm10941588', 'nm3840856', 'nm9433074']",6.2,93,nm3490382,Traci Hays
162629,tt0988595,27 Dresses,2008,"Comedy,Romance",nm0281945,"['nm0001337', 'nm0005188', 'nm0015196', 'nm0450116', 'nm2724665']",6.1,177615,nm0281945,Anne Fletcher
197418,tt14425562,Ush El Bulbul,2013,Comedy,nm6166954,"['nm4517985', 'nm12476082', 'nm7627618', 'nm6460991', 'nm4276608']",3.9,20,nm6166954,Husam El-Gohari
107326,tt0247556,The Quiet Swimmer,1998,Drama,nm0748886,"['nm0823435', 'nm1009178', 'nm1007736', 'nm1007882', 'nm1007909']",7.0,15,nm0748886,Fernán Rudnik
53668,tt0091414,Lily Tomlin,1986,Documentary,"nm0112374,nm0161443",['nm0275443'],6.7,146,nm0112374,Nick Broomfield
233713,tt2215537,We Are So Young,2013,"Biography,Drama,Music",nm0196115,"['nm1796903', 'nm1597520', 'nm0868577', 'nm3623789', 'nm0181613']",6.5,2464,nm0196115,Antonio Carlos da Fontoura
276014,tt4440488,Behind the Clouds,2016,Drama,nm3204725,"['nm0518574', 'nm0210313', 'nm0893637', 'nm4794061', 'nm0264191']",6.4,413,nm3204725,Cecilia Verheyden
174763,tt11448076,Cliff Walkers,2021,"Crime,Drama,Thriller","nm15069738,nm0955443","['nm3388842', 'nm3589263', 'nm0702656', 'nm11654704', 'nm3301868']",6.5,3129,nm15069738,Zhuang Jieqiong
14966,tt0036972,Johnny Doesn't Live Here Anymore,1944,"Comedy,Romance,War",nm0562004,"['nm0800386', 'nm0255199', 'nm0856096', 'nm0326809', 'nm0151334']",5.6,304,nm0562004,Joe May
251788,tt2848296,En perfekt film,2014,Drama,nm5632219,"['nm5165932', 'nm5360788', 'nm3948439', 'nm5632268', 'nm5967366']",7.8,11,nm5632219,Patrik Witkowsky
87040,tt0173860,Forty Acre Feud,1965,Comedy,nm0650259,"['nm0403910', 'nm0669080', 'nm0716186', 'nm0850590', 'nm0179962']",5.5,70,nm0650259,Ron Ormond
174090,tt11362496,Beneath the Shadow,2019,Drama,nm3311094,"['nm1687017', 'nm5407381', 'nm0475165', 'nm0559430', 'nm0619188']",6.2,243,nm3311094,Keishi Otomo
248612,tt27513039,Pattaya Heat,2024,"Crime,Thriller",nm3632031,"['nm0263594', 'nm8734833', 'nm1559966', 'nm1428198', 'nm8649220']",5.7,200,nm3632031,Shupeng Yang
62615,tt0104880,Miracle in the Wilderness,1991,"Adventure,Drama,Romance",nm0229914,"['nm0001434', 'nm0000326', 'nm0426665', 'nm0862079', 'nm0646812']",5.9,235,nm0229914,Kevin James Dobson
248877,tt27578157,Colors of Evil: Red,2024,"Crime,Drama,Mystery",nm3423765,"['nm3617350', 'nm0652292', 'nm11219070', 'nm1293137', 'nm1669753']",6.4,6904,nm3423765,Adrian Panek
70236,tt0117800,Sweet Dreams,1996,"Drama,Mystery",nm0070474,"['nm0005485', 'nm0553436', 'nm0628392', 'nm0001865', 'nm0004916']",5.8,615,nm0070474,Jack Bender
69226,tt0116281,Far Harbor,1996,Drama,nm0399655,"['nm0041029', 'nm0000124', 'nm0001246', 'nm0001315', 'nm0491054']",4.6,465,nm0399655,John Huddles
297964,tt6690218,Khancha,2013,Drama,nm1204164,"['nm1383799', 'nm3368782', 'nm1548951', 'nm15575150', 'nm2533609']",6.0,27,nm1204164,Raja Sen
230123,tt21344672,Sam's World,2024,Drama,nm13869223,"['nm13869223', 'nm10739591', 'nm13869225', 'nm15754184', 'nm13869228']",7.7,14,nm13869223,Lily Lady
37605,tt0068654,Count Dracula's Great Love,1973,Horror,nm0013706,"['nm0596701', 'nm0946184', 'nm0689248', 'nm0589019', 'nm0304999']",5.2,1242,nm0013706,Javier Aguirre
67198,tt0112749,"Cry, the Beloved Country",1995,"Drama,Thriller",nm0740213,"['nm0001321', 'nm0000469', 'nm0475100', 'nm0001165', 'nm0917037']",6.8,2081,nm0740213,Darrell Roodt
111831,tt0263313,"Good Bye, My Lover",1965,"Drama,Romance",nm0781261,"['nm0814734', 'nm0402113', 'nm0348029', 'nm0767945', 'nm0856194']",6.2,51,nm0781261,Osman F. Seden
54788,tt0093062,Funny Boy,1987,"Comedy,Drama",nm0494385,"['nm0495994', 'nm0537865', 'nm1579097', 'nm0109762', 'nm0435726']",4.5,62,nm0494385,Christian Le Hémonet
131250,tt0349613,Incognito,1989,\N,nm0073935,"['nm0231319', 'nm0069711', 'nm0064731', 'nm0012734', 'nm0494571']",3.9,11,nm0073935,Alain Bergala
189349,tt1339339,One Night Only,2008,Comedy,nm0419494,"['nm1715384', 'nm1218415', 'nm0202516', 'nm2039043', 'nm3521523']",6.6,33,nm0419494,Jose Javier Reyes
264170,tt3390560,Top Secret: Plant 42,2012,Documentary,nm1718207,['nm3359582'],4.7,9,nm1718207,Joe Venafro
34981,tt0065041,A Strange Romance,1968,\N,nm0540295,"['nm0423826', 'nm0692611', 'nm0724817', 'nm0421622', 'nm0676918']",6.9,13,nm0540295,Nils Malmros
7945,tt0026631,Liselotte von der Pfalz,1935,"Drama,History",nm0296193,"['nm0618286', 'nm0460337', 'nm0469291', 'nm0217848', 'nm0654880']",7.2,24,nm0296193,Carl Froelich
110724,tt0259878,The Barber of Seville,1981,"Comedy,Music",nm0372737,"['nm0263987', 'nm0712688', 'nm0181998', 'nm0221111', 'nm0566370']",7.8,31,nm0372737,Dave Heather
155481,tt0781338,El crimen de una novia,2006,Documentary,nm0346216,"['nm1659972', 'nm0098710', 'nm0744691']",5.4,11,nm0346216,Lola Guerrero
17870,tt0041183,Black Midnight,1949,"Drama,Western",nm0091430,"['nm0001522', 'nm0641035', 'nm0859183', 'nm0335510', 'nm0428160']",6.2,102,nm0091430,Budd Boetticher
313090,tt8924916,Jonbai,2005,"Drama,Musical,Romance",nm9724920,"['nm9901547', 'nm2836612', 'nm2940796', 'nm8669558', 'nm8669566']",8.6,29,nm9724920,Rajesh Bhuyan
